       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
2            0     0      0                0                0      4.0           4.0       40.0      10.0000     4.00  6.500000e+10
15           1     1      1                0                0      5.0           4.0       52.0      12.0000     4.20  9.327000e+10
24           2     2      2                1                0      5.0           5.0       90.0      18.0000     5.00  1.088900e+11
29           3     3      3                0                0      4.0           3.0       32.0       6.6000     4.50  6.094000e+10
34           4     4      4                0                0      3.0           2.0       42.0      11.0000     4.00  2.976000e+10
37           5     4      5                0                0      4.0           4.0       43.0      11.0000     4.00  5.000000e+10
41           6     5      6                0                0      4.0           4.0       38.0      10.0000     3.00  6.842000e+10
48           7     2      7                2                1      3.0           5.0      200.0      22.0000     9.00  4.725000e+10
56           8     6      8                1                0      6.0          11.0       70.0      17.0000     4.00  1.142900e+11
63           9     7      9                1                0      5.0           9.0       77.0      17.0000     4.00  2.080000e+09
68          10     2     10                0                0      5.0           4.0       30.0       9.0000     3.40  8.267000e+10
70          11     0     11                0                0      4.0           2.0       18.0       6.0000     3.20  1.055600e+11
71          12     8     12                0                0      5.0           5.0       33.0      11.0000     3.00  1.363600e+11
76          13     7      9                0                0      5.0           3.0       32.0      11.0000     3.20  8.906000e+10
78          13     7      9                0                0      4.0           3.0       20.0       6.5000     3.00  9.750000e+10
85          14     6     13                0                0      3.0           3.0       28.0       7.0000     3.90  1.000000e+11
95          13     7      9                1                0      5.0           3.0       30.0       4.0000     7.55  1.183300e+11
96          15     2      2                0                0      3.0           2.0       37.0      10.0000     3.70  5.351000e+10
98          16     3     14                0                0      1.0           1.0       45.0      10.0000     4.50  7.111000e+10
102         17     6     15                0                0      5.0           3.0       11.0       3.0000     4.00  1.318200e+11
104         13     7      9                1                0      3.0           3.0       21.0       7.0000     3.00  1.000000e+11
109         18     6     16                1                0      5.0           8.0       75.0      20.0000     6.00  3.933300e+11
111         10     2     10                0                0      5.0           3.0       35.0       9.0000     4.00  7.143000e+10
120         19     8     17                0                0      3.0           2.0       30.0       9.0000     3.20  6.000000e+10
128         13     7      9                0                0      5.0           3.0       25.0       7.0000     3.60  9.600000e+10
137         20     2     18                1                0      5.0           4.0       40.0      10.0000     4.00  5.000000e+10
138         21     2     19                0                0      4.0           3.0       33.0       9.5000     3.50  6.515000e+10
143         22     7     20                0                1      2.0           2.0       30.0       7.0000     4.00  2.833000e+10
146         23     9     21                0                0      2.0           3.0       81.0      22.5000     3.60  3.951000e+10
151         24     9     22                1                0      5.0           3.0       45.0       9.0000     4.00  6.444000e+10
164         25     4      5                0                0      3.0           3.0       36.0      12.0000     3.00  5.522000e+10
171         26     0     11                0                0      4.0           3.0       35.0       8.7500     4.00  6.857000e+10
183         27     2     23                0                0      4.0           4.0       60.0      15.0000     4.00  8.333000e+10
186         28     7      9                0                0      5.0           3.0       36.0       9.0000     4.00  7.639000e+10
189         29     2     23                1                0      2.0           2.0       45.0      13.0000     3.40  1.222200e+11
193         30     6     24                1                0      6.0           6.0       60.0       8.0000     8.00  4.833300e+11
219         31     2     23                1                0      5.0           4.0       37.0      11.0000     3.70  1.162200e+11
